"","Easting","Northing","PA","plot","subplot","top_sub","mid_sub","year","ARVI","EVI","NDLI","NDNI","NDVI","PRI","SAVI","NDII","NDWI","NMDI","MSI","WBI"
"366",452604.435329732,4431667.18914119,0,"NIWO_011","31.1.10","31","1","2018",0.615996843203902,0.198713726364076,0.0283535410417244,0.0659898049198091,0.649847839027643,-0.0310500604100525,0.205524411983788,0.177537946496159,-0.0197636031662114,0.520874679088593,0.676572049036622,1.03807567059994
"367",452604.435329732,4431677.18914119,0,"NIWO_011","40.1.10","40","1","2018",0.645454136654735,0.175165966618806,0.0252135072369128,0.0661444913130254,0.668548967689276,-0.0217916195251746,0.183758086524904,0.16709784703562,-0.0377032029791735,0.504699032753706,0.703266581520438,1.02278741449118
"368",452254.341184953,4431766.24206572,0,"NIWO_012","31.4.10","31","4","2018",0.744764368981123,0.159941837191582,0.0238919218536466,0.0652962455060333,0.712036177515984,-0.0105342713504797,0.168379566632211,0.382055409718305,0.0731480760732666,0.614492226392031,0.407862287014723,1.09142885357141
"369",450176.105399925,4433757.38132638,0,"NIWO_012","41.4.10","41","4","2018",0.420536244288087,0.316739810630679,0.027545576565899,0.0958474245853722,0.560220452025533,-0.0762564362958074,0.321071224287152,-0.0284933055045258,-0.111472377553582,0.430768577381968,0.992254570126534,0.950519409030676
"370",452264.341184953,4431766.24206572,0,"NIWO_012","32.4.10","32","4","2018",0.709536701440811,0.11733476142399,0.0243732602102682,0.0630964045412838,0.673484373837709,-0.00893712312972639,0.126086004078388,0.240926317259436,-0.00601616984931752,0.50856177508831,0.564674725756049,1.03598826006055
"371",451375.132994541,4432758.84473739,0,"NIWO_005","40.1.10","40","1","2018",0.549128307029605,0.358981695026159,0.0303284217370674,0.0819180668331683,0.648040119558573,-0.0654342209454626,0.351031138561666,0.10144607082475,-0.0551016634271946,0.498245842754841,0.821582106873393,1.00327614694834
"372",451395.132994541,4432748.84473739,0,"NIWO_005","32.2.10","32","2","2018",0.608235027641058,0.282233754638582,0.025589321157895,0.0736519172787666,0.67371866106987,-0.0555921126506291,0.284936607815325,0.210463017989241,-0.00144180905772373,0.560018137097359,0.631189607083797,1.03465760871768
"373",452244.341184953,4431756.24206572,0,"NIWO_012","31.1.10","31","1","2018",0.378240131773055,0.124617428984493,0.0178790559875779,0.0518626098055393,0.475018145516515,-0.0436946240952238,0.133878496009856,-0.122556828311644,-0.136734339175746,0.418277595192194,1.31637488305569,0.975747589021921
"374",452604.435329732,4431687.18914119,0,"NIWO_011","40.3.10","40","3","2018",0.728597331792116,0.282514362363145,0.032051551330369,0.0848805834539235,0.739565849304199,-0.0308849938446656,0.283233572728932,0.384326436556876,0.0558733175566886,0.605013005435467,0.400490380823612,1.07959298789501
"375",450176.105399925,4433757.38132638,0,"NIWO_005","41.4.10","41","4","2018",0.420536244288087,0.316739810630679,0.027545576565899,0.0958474245853722,0.560220452025533,-0.0762564362958074,0.321071224287152,-0.0284933055045258,-0.111472377553582,0.430768577381968,0.992254570126534,0.950519409030676
"376",450176.105399925,4433757.38132638,0,"NIWO_011","41.1.10","41","1","2018",0.416705016046762,0.311930801719427,0.0264522754587233,0.0939862136729062,0.555579803884029,-0.0755111677572131,0.316078523173928,-0.0161726204678416,-0.103859872091562,0.442484827712178,0.96680011972785,0.956829223781824
"377",452264.341184953,4431756.24206572,0,"NIWO_012","32.2.10","32","2","2018",0.646787691861391,0.202510950854048,0.0246496758190915,0.068133452674374,0.656407404690981,-0.0217887043691007,0.205781435361132,0.228604627111054,0.00806708389427513,0.535532087087631,0.59320187009871,1.04161684587598
"378",450176.105399925,4433757.38132638,0,"NIWO_011","41.4.10","41","4","2018",0.420536244288087,0.316739810630679,0.027545576565899,0.0958474245853722,0.560220452025533,-0.0762564362958074,0.321071224287152,-0.0284933055045258,-0.111472377553582,0.430768577381968,0.992254570126534,0.950519409030676
"379",452614.435329732,4431677.18914119,0,"NIWO_011","31.4.10","31","4","2018",0.709517389535904,0.213743645697832,0.0287364912801422,0.072862587403506,0.714880304411054,-0.0206201219116338,0.220890571828932,0.330993129871786,0.0356384288170375,0.584024956449866,0.477578516118228,1.07781563326716
"380",452244.341184953,4431766.24206572,0,"NIWO_012","40.1.10","40","1","2018",0.697758052498102,0.201426645508036,0.0262384616071358,0.0711314585059881,0.705254960805178,-0.0242345391598064,0.208886605687439,0.331845054519363,0.0369482215610333,0.591394007205963,0.467510156333447,1.06857180595398
"381",452624.435329732,4431677.18914119,0,"NIWO_011","32.4.10","32","4","2018",0.722731329500675,0.194442722480744,0.0290188111830503,0.072586736176163,0.726944416761398,-0.0203769763174932,0.203428431414068,0.353354119462892,0.0476822080672719,0.596276240423322,0.449825622141361,1.0723572820425
"382",450176.105399925,4433757.38132638,0,"NIWO_010","41.1.10","41","1","2018",0.416705016046762,0.311930801719427,0.0264522754587233,0.0939862136729062,0.555579803884029,-0.0755111677572131,0.316078523173928,-0.0161726204678416,-0.103859872091562,0.442484827712178,0.96680011972785,0.956829223781824
"383",451464.128709115,4432050.35051192,0,"NIWO_010","40.3.10","40","3","2018",0.614102678373456,0.183521371334791,0.0249100828659721,0.0655532530508935,0.663128443062305,-0.0377562435460277,0.193288485985249,0.0812452274840325,-0.0698885529418476,0.448235848918557,0.825126735493541,0.998966228216887
"384",451484.128709115,4432030.35051192,0,"NIWO_010","32.2.10","32","2","2018",0.662260010838509,0.1622878103517,0.0266981329768896,0.0688342473004013,0.669911693781614,-0.0164969343459234,0.171238989336416,0.237033882294782,-0.00812601193320006,0.516609394922853,0.609891999512911,1.04932525381446
"385",451464.128709115,4432030.35051192,0,"NIWO_010","31.1.10","31","1","2018",0.743528731167316,0.188750711036846,0.0285720145329833,0.0732647667173296,0.707994116470218,-0.0191306056512985,0.193893442163244,0.400706324726343,0.0630779039929621,0.616204734891653,0.384949525818229,1.0863456428051
"386",450176.105399925,4433757.38132638,0,"NIWO_010","41.4.10","41","4","2018",0.420536244288087,0.316739810630679,0.027545576565899,0.0958474245853722,0.560220452025533,-0.0762564362958074,0.321071224287152,-0.0284933055045258,-0.111472377553582,0.430768577381968,0.992254570126534,0.950519409030676
"387",451474.128709115,4432040.35051192,0,"NIWO_010","31.4.10","31","4","2018",0.702752914279699,0.254517339169979,0.0322270495817065,0.0818015539553016,0.730497468262911,-0.0390718753333203,0.26004766812548,0.383458225056529,0.0605677021667361,0.604956395924091,0.401845639571548,1.0833670347929
"388",451484.128709115,4432040.35051192,0,"NIWO_010","32.4.10","32","4","2018",0.639900214970112,0.156409055227414,0.0230585567769594,0.061719894176349,0.661841163411736,-0.0262516379880253,0.165558297419921,0.197126646322431,-0.0272534288815223,0.527785632759333,0.659688113257289,1.03381815180182
"389",451464.128709115,4432040.35051192,0,"NIWO_010","40.1.10","40","1","2018",0.623827384784818,0.105439748382196,0.0190800462150946,0.0523469505133107,0.610017174854875,-0.0225526768481359,0.114262157119811,0.219059622613713,-0.00795986084267497,0.554216554388404,0.647732071578503,1.03897102177143
"390",450115.658127662,4434248.36456525,1,"NIWO_024","31.1.10","31","1","2019",0.241512288106605,0.22164692543447,0.0169914434081875,0.0797862824983895,0.376356647349894,-0.0704786744900048,0.217391883023083,-0.122254545567557,-0.125857475446537,0.444659903645515,1.23833173140883,0.956744365394115
"391",450176.105399925,4433737.38132638,0,"NIWO_018","31.1.10","31","1","2019",0.281785983592272,0.23084228951484,0.0163355403929017,0.0683049475774169,0.437158737331629,-0.0804057181812823,0.237224110402167,-0.130606247112155,-0.132015189155936,0.498269960284233,1.24002833664417,0.953721489757299
"392",450176.105399925,4433757.38132638,0,"NIWO_024","41.4.10","41","4","2019",0.52880160138011,0.351166246458888,0.026595946517773,0.104462481103837,0.644705511629581,-0.0745500847697258,0.353871311992407,-0.000344878630130552,-0.0898330644704401,0.441252861171961,0.927906848490238,0.982954017817974
"393",450115.658127662,4434268.36456525,1,"NIWO_024","40.3.10","40","3","2019",0.339921586215496,0.283567253500223,0.0240774375852197,0.0981455948203802,0.483750743791461,-0.076889050193131,0.284323992207646,-0.0330664742796216,-0.0865900898352265,0.434144921600819,0.986417222768068,0.974230814725161
"394",450135.658127662,4434248.36456525,1,"NIWO_024","32.2.10","32","2","2019",0.380746581126004,0.311328287236392,0.0240360858733766,0.0933349393308163,0.510133768431842,-0.0718002705834806,0.306660963688046,-0.0289112556783948,-0.0983584909699857,0.448538590222597,1.01400689780712,0.971565064042807
